Code,Name,Population
S13002938,Denny and Banknock,"9,881"
S13002997,Dingwall and Seaforth,"6,985"
S13002900,Doon Valley,"5,923"
S13002921,Drum Brae/Gyle,"12,199"
S13002980,Drumchapel/Anniesland,"15,880"
S13003124,Dumbarton,"8,749"
S13002913,Dunbar and East Linton,"8,064"
S13003117,Dunblane and Bridge of Allan,"8,668"
S13002947,Dunfermline Central,"9,554"
S13002946,Dunfermline North,"9,067"
S13002948,Dunfermline South,"12,401"
S13002522,Dunoon,"3,957"
S13002835,Dyce/Bucksburn/Danestone,"9,767"
S13002767,East Berwickshire,"5,460"
S13002984,East Centre,"15,528"
S13002551,East End,"8,416"
S13002859,East Garioch,"6,550"
S13003102,East Kilbride Central North,"8,483"
S13003101,East Kilbride Central South,"8,170"
S13003104,East Kilbride East,"7,839"
S13003100,East Kilbride South,"8,791"
S13003103,East Kilbride West,"7,014"
S13002824,East Livingston and East Calder,"11,773"
S13003150,"East Mainland, South Ronaldsay and Burray","2,010"
S13002963,East Neuk and Landward,"6,428"
S13002993,East Sutherland and Edderton,"4,152"
S13002999,Eilean a' Chèo,"5,456"
S13003029,Elgin City North,"6,273"
S13003030,Elgin City South,"6,266"
S13002856,Ellon and District,"6,980"
S13003086,Erskine and Inchinnan,"9,329"
S13002941,Falkirk North,"11,000"
S13002942,Falkirk South,"8,451"
S13002825,Fauldhouse and the Breich Valley,"8,080"
S13003027,Fochabers Lhanbryde,"5,940"
S13002869,Forfar and District,"8,218"
S13003031,Forres,"8,213"
S13003010,Fort William and Ardnamurchan,"5,931"
S13002922,Forth,"16,319"
S13003116,Forth and Endrick,"6,777"
S13003054,Fortissat,"7,853"
S13002927,Fountainbridge/Craiglockhart,"11,840"
S13002850,Fraserburgh and District,"7,883"
S13002763,Galashiels and District,"7,740"
S13003147,Garnock Valley,"10,569"
S13002979,Garscadden/Scotstounhill,"15,911"
S13003047,"Gartcosh, Glenboig and Moodiesburn","7,697"
S13002842,George St/Harbour,"9,071"
S13002916,Giffnock and Thornliebank,"8,279"
S13003094,Girvan and South Carrick,"5,625"
S13002959,Glenrothes Central and Thornton,"7,786"
S13002958,"Glenrothes North, Leslie and Markinch","9,492"
S13003129,Glenrothes West and Kinglassie,"8,276"
S13002971,Govan,"13,179"
S13002937,Grangemouth,"8,239"
S13002969,Greater Pollok,"17,673"
S13002912,Haddington and Lammermuir,"10,387"
S13003111,Hamilton North and East,"7,543"
S13003113,Hamilton South,"11,475"
S13003112,Hamilton West and Earnock,"9,490"
S13002770,Hawick and Denholm,"4,792"
S13002771,Hawick and Hermitage,"4,271"
S13002844,Hazlehead/Queens Cross/Countesswells,"10,702"
S13003028,Heldon and Laich,"7,029"
S13002525,Helensburgh Central,"4,507"
S13002526,Helensburgh and Lomond South,"3,849"
S13003066,Highland,"4,657"
S13002977,Hillhead,"12,646"
S13002839,Hilton/Woodside/Stockethill,"7,881"
S13003084,"Houston, Crosslee and Linwood","10,406"
S13002960,Howe of Fife and Tay Coast,"6,903"
S13002861,"Huntly, Strathbogie and Howe of Alford","8,298"
S13003013,Inverclyde Central,"6,170"
S13003011,Inverclyde East,"5,944"
S13003012,Inverclyde East Central,"4,846"
S13003014,Inverclyde North,"6,972"
S13003017,Inverclyde South,"4,672"
S13003016,Inverclyde South West,"6,075"
S13003015,Inverclyde West,"5,277"
S13002950,Inverkeithing and Dalgety Bay,"9,023"
S13002923,Inverleith,"18,060"
S13003003,Inverness Central,"6,239"
S13003005,Inverness Millburn,"5,562"
S13003004,Inverness Ness-side,"5,661"
S13003008,Inverness South,"8,360"
S13003002,Inverness West,"4,941"
S13002858,Inverurie and District,"8,244"
S13003033,Irvine East,"6,562"
S13003041,Irvine South,"5,710"
S13002897,Irvine Valley,"6,227"
S13003032,Irvine West,"7,938"
S13002523,Isle of Bute,"3,007"
S13002769,Jedburgh and District,"4,733"
S13003083,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch","7,449"
S13003082,Johnstone South and Elderslie,"8,435"
S13003025,Keith and Cullen,"4,807"
S13002768,Kelso and District,"5,320"
S13002895,Kilmarnock East and Hurlford,"8,061"
S13002893,Kilmarnock North,"6,388"
S13002896,Kilmarnock South,"5,686"
S13002894,Kilmarnock West and Crosshouse,"8,994"
S13003125,Kilpatrick,"6,441"
S13003042,Kilsyth,"7,461"
S13003034,Kilwinning,"9,108"
S13002847,Kincorth/Nigg/Cove,"8,818"
S13002837,Kingswells/Sheddocksley/Summerhill,"8,147"
S13003132,Kinross-shire,"7,564"
S13002517,Kintyre and the Islands,"3,372"
S13002955,Kirkcaldy Central,"7,342"
S13002956,Kirkcaldy East,"7,723"
S13002954,Kirkcaldy North,"8,449"
S13002907,Kirkintilloch East and North and Twechar,"9,610"
S13003151,Kirkwall East,"2,500"
S13003152,Kirkwall West and Orphir,"2,030"
S13002867,Kirriemuir and Dean,"5,434"
S13003092,Kyle,"7,531"
S13002973,Langside,"15,716"
S13003114,Larkhall,"9,841"
S13002765,Leaderdale and Melrose,"5,715"
S13002931,Leith,"12,028"
S13002930,Leith Walk,"17,735"
S13002906,Lenzie and Kirkintilloch South,"6,934"
S13002777,Lerwick North and Bressay,963
S13003153,Lerwick South,"2,387"
S13003123,Leven,"9,900"
S13002965,"Leven, Kennoway and Largo","10,199"
S13002934,Liberton/Gilmerton,"19,060"
S13002820,Linlithgow,"8,471"
S13002967,Linn,"15,439"
S13002822,Livingston North,"11,767"
S13002823,Livingston South,"12,680"
S13003136,Loch a Tuath,"1,327"
S13002887,Lochar,"6,322"
S13002546,Lochee,"10,551"
S13003130,"Lochgelly, Cardenden and Benarty","9,974"
S13003122,Lomond,"5,835"
S13002524,Lomond North,"3,920"
S13002943,Lower Braes,"7,993"
S13002843,Lower Deeside,"9,009"
S13002549,Maryfield,"8,867"
S13002981,Maryhill,"11,254"
S13003093,"Maybole, North Carrick and Coylton","6,369"
S13002866,Mearns,"7,664"
S13002518,Mid Argyll,"3,746"
S13002766,Mid Berwickshire,"5,298"
S13002855,Mid Formartine,"8,138"
S13002881,Mid Galloway and Wigtown West,"6,819"
S13002886,Mid and Upper Nithsdale,"5,300"
S13003022,Midlothian East,"8,494"
S13003023,Midlothian South,"7,547"
S13003021,Midlothian West,"8,665"
S13002841,Midstocket/Rosemount,"7,056"
S13002901,Milngavie,"7,005"
S13002870,Monifieth and Sidlaw,"8,489"
S13002874,Montrose and District,"7,947"
S13002928,Morningside,"16,491"
S13003057,Mossend and Holytown,"6,749"
S13003059,Motherwell North,"9,253"
S13003060,Motherwell South East and Ravenscraig,"9,188"
S13003058,Motherwell West,"7,538"
S13003061,Murdostoun,"10,768"
S13002908,Musselburgh,"9,902"
S13003137,Na Hearadh,885
S13003007,Nairn and Cawdor,"7,119"
S13002968,Newlands/Auldburn,"11,791"
S13002915,Newton Mearns North and Neilston,"8,819"
S13002918,Newton Mearns South and Eaglesham,"12,049"
S13002888,Nith,"6,798"
S13002911,North Berwick Coastal,"7,686"
S13003148,North Coast,"11,111"
S13002830,North East,"8,518"
S13003133,North East,"11,100"
S13002737,North Isles,"1,107"
S13002772,North Isles,"1,318"
S13002864,North Kincardine,"8,003"
S13002885,North West Dumfries,"7,704"
S13002990,"North, West and Central Sutherland","2,844"
S13002838,Northfield/Mastrick North,"8,512"
S13002520,Oban North and Lorn,"4,960"
S13002519,Oban South and the Isles,"5,327"
